dosen_id,tahun,kategori_tunjangan,ikut_pengembangan_karir,status_perlindungan
D0011,2025,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0011,2026,Fungsional,True,BPJS Kesehatan saja
D0012,2021,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0012,2022,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0012,2023,Kinerja,True,BPJS Kesehatan saja
D0012,2024,Kinerja,True,BPJS Kesehatan saja
D0012,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0012,2026,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0013,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0013,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0013,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0013,2024,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0013,2025,Sertifikasi Dosen,False,Tidak Ada
D0013,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0014,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0014,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0014,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0014,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0014,2025,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0014,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0015,2021,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0015,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0015,2023,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0015,2024,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0015,2025,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0015,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0016,2021,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0016,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0016,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0016,2024,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0016,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0016,2026,Kinerja,True,Tidak Ada
D0017,2021,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0017,2022,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0017,2023,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0017,2024,Fungsional,False,BPJS Kesehatan saja
D0017,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0017,2026,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0018,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0018,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0018,2023,Fungsional,False,Tidak Ada
D0018,2024,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0018,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0018,2026,Sertifikasi Dosen,True,Tidak Ada
D0019,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0019,2022,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0019,2023,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0019,2024,Fungsional,True,BPJS Kesehatan saja
D0019,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0019,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0020,2021,Tidak Ada,False,BPJS Kesehatan saja
D0020,2022,Fungsional,True,BPJS Kesehatan saja
D0020,2023,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0020,2024,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0020,2025,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0020,2026,Tidak Ada,True,BPJS Kesehatan saja
D0021,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0021,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0021,2023,Sertifikasi Dosen,False,Tidak Ada
D0021,2024,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0021,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0021,2026,Sertifikasi Dosen,True,Tidak Ada
D0022,2021,Kinerja,True,Tidak Ada
D0022,2022,Fungsional,True,BPJS Kesehatan saja
D0022,2023,Fungsional,True,Tidak Ada
D0022,2024,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0022,2025,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0022,2026,Kinerja,True,Tidak Ada
D0023,2021,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0023,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0023,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0023,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0023,2025,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0023,2026,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0024,2021,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0024,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0024,2023,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0024,2024,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0024,2025,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0024,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0025,2021,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0025,2022,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0025,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0025,2024,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0025,2025,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0025,2026,Tidak Ada,True,Tidak Ada
D0026,2021,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0026,2022,Tidak Ada,True,Tidak Ada
D0026,2023,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0026,2024,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0026,2025,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0026,2026,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0027,2021,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0027,2022,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0027,2023,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0027,2024,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0027,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0027,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0028,2021,Kinerja,False,BPJS Kesehatan saja
D0028,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0028,2023,Fungsional,True,Tidak Ada
D0028,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0028,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0028,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0029,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0029,2022,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0029,2023,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0029,2024,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0029,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0029,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0030,2021,Kinerja,False,Tidak Ada
D0030,2022,Kinerja,False,BPJS Kesehatan saja
D0030,2023,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0030,2024,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0030,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0030,2026,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0031,2021,Tidak Ada,False,Tidak Ada
D0031,2022,Sertifikasi Dosen,False,Tidak Ada
D0031,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0031,2024,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0031,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0031,2026,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0032,2021,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0032,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0032,2023,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0032,2024,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0032,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0032,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0033,2021,Fungsional,False,BPJS Kesehatan saja
D0033,2022,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0033,2023,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0033,2024,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0033,2025,Kinerja,True,BPJS Kesehatan saja
D0033,2026,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0034,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0034,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0034,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0034,2024,Sertifikasi Dosen,True,Tidak Ada
D0034,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0034,2026,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0035,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0035,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0035,2023,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0035,2024,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0035,2025,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0035,2026,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0036,2021,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0036,2022,Kinerja,True,BPJS Kesehatan saja
D0036,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0036,2024,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0036,2025,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0036,2026,Kinerja,True,BPJS Kesehatan saja
D0037,2021,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0037,2022,Fungsional,True,Tidak Ada
D0037,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0037,2024,Fungsional,True,BPJS Kesehatan saja
D0037,2025,Kinerja,False,BPJS Kesehatan saja
D0037,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0038,2021,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0038,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0038,2023,Kinerja,True,Tidak Ada
D0038,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0038,2025,Fungsional,True,BPJS Kesehatan saja
D0038,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0039,2021,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0039,2022,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0039,2023,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0039,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0039,2025,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0039,2026,Fungsional,True,Tidak Ada
D0040,2021,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0040,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0040,2023,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0040,2024,Fungsional,True,Tidak Ada
D0040,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0040,2026,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0041,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0041,2022,Fungsional,True,BPJS Kesehatan saja
D0041,2023,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0041,2024,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0041,2025,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0041,2026,Sertifikasi Dosen,False,Tidak Ada
D0042,2021,Fungsional,True,Tidak Ada
D0042,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0042,2023,Sertifikasi Dosen,False,Tidak Ada
D0042,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0042,2025,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0042,2026,Fungsional,False,BPJS Kesehatan saja
D0043,2021,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0043,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0043,2023,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0043,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0043,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0043,2026,Fungsional,False,BPJS Kesehatan saja
D0044,2021,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0044,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0044,2023,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0044,2024,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0044,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0044,2026,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0045,2021,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0045,2022,Kinerja,False,Tidak Ada
D0045,2023,Kinerja,True,BPJS Kesehatan saja
D0045,2024,Kinerja,True,BPJS Kesehatan saja
D0045,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0045,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0046,2021,Sertifikasi Dosen,False,Tidak Ada
D0046,2022,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0046,2023,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0046,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0046,2025,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0046,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0047,2021,Kinerja,True,Tidak Ada
D0047,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0047,2023,Fungsional,True,BPJS Kesehatan saja
D0047,2024,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0047,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0047,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0048,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0048,2022,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0048,2023,Kinerja,False,BPJS Kesehatan saja
D0048,2024,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0048,2025,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0048,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0049,2021,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0049,2022,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0049,2023,Fungsional,True,Tidak Ada
D0049,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0049,2025,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0049,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0050,2021,Fungsional,True,BPJS Kesehatan saja
D0050,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0050,2023,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0050,2024,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0050,2025,Tidak Ada,True,Tidak Ada
D0050,2026,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0051,2021,Fungsional,False,BPJS Kesehatan saja
D0051,2022,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0051,2023,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0051,2024,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0051,2025,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0051,2026,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0052,2021,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0052,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0052,2023,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0052,2024,Kinerja,False,Tidak Ada
D0052,2025,Kinerja,False,Tidak Ada
D0052,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0053,2021,Sertifikasi Dosen,True,Tidak Ada
D0053,2022,Kinerja,True,Tidak Ada
D0053,2023,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0053,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0053,2025,Kinerja,False,BPJS Kesehatan saja
D0053,2026,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0054,2021,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0054,2022,Kinerja,True,BPJS Kesehatan saja
D0054,2023,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0054,2024,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0054,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0054,2026,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0055,2021,Tidak Ada,True,BPJS Kesehatan & Ketenagakerjaan
D0055,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0055,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0055,2024,Fungsional,True,Tidak Ada
D0055,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0055,2026,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0056,2021,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0056,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0056,2023,Kinerja,False,BPJS Kesehatan saja
D0056,2024,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0056,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0056,2026,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0057,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0057,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0057,2023,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0057,2024,Tidak Ada,True,BPJS Kesehatan saja
D0057,2025,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0057,2026,Kinerja,False,BPJS Kesehatan saja
D0058,2021,Fungsional,True,BPJS Kesehatan & Ketenagakerjaan
D0058,2022,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0058,2023,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0058,2024,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0058,2025,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0058,2026,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0059,2021,Sertifikasi Dosen,True,Tidak Ada
D0059,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0059,2023,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0059,2024,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0059,2025,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0059,2026,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0060,2021,Kinerja,False,BPJS Kesehatan saja
D0060,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0060,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0060,2024,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0060,2025,Kinerja,True,Tidak Ada
D0060,2026,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0061,2021,Kinerja,False,BPJS Kesehatan & Ketenagakerjaan
D0061,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0061,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0061,2024,Tidak Ada,True,BPJS Kesehatan saja
D0061,2025,Kinerja,True,BPJS Kesehatan saja
D0061,2026,Sertifikasi Dosen,True,BPJS Kesehatan saja
D0062,2021,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0062,2022,Sertifikasi Dosen,True,BPJS Kesehatan & Ketenagakerjaan
D0062,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0062,2024,Fungsional,True,Tidak Ada
D0062,2025,Fungsional,False,Tidak Ada
D0062,2026,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0063,2021,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0063,2022,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0063,2023,Sertifikasi Dosen,False,BPJS Kesehatan & Ketenagakerjaan
D0063,2024,Kinerja,False,Tidak Ada
D0063,2025,Sertifikasi Dosen,False,BPJS Kesehatan saja
D0063,2026,Fungsional,True,BPJS Kesehatan saja
D0064,2021,Fungsional,True,BPJS Kesehatan saja
D0064,2022,Tidak Ada,False,Tidak Ada
D0064,2023,Sertifikasi Dosen,True,Tidak Ada
D0064,2024,Tidak Ada,False,BPJS Kesehatan & Ketenagakerjaan
D0064,2025,Fungsional,True,BPJS Kesehatan saja
D0064,2026,Kinerja,True,BPJS Kesehatan saja
D0065,2021,Kinerja,True,BPJS Kesehatan saja
D0065,2022,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
D0065,2023,Fungsional,True,BPJS Kesehatan saja
D0065,2024,Fungsional,False,BPJS Kesehatan & Ketenagakerjaan
D0065,2025,Kinerja,True,BPJS Kesehatan & Ketenagakerjaan
