iku_no,nama_iku,status_pts,tabel_sumber,formula,satuan,tahun,target,keterangan
7,Kontribusi SDGs,Wajib,iku7_sdgs,jumlah kegiatan ber-SDG per tahun,kegiatan,2026,17.5,
8,SDM dalam Kebijakan,Pilihan,iku8_sdm_kebijakan,jumlah keterlibatan kebijakan per tahun,kegiatan,2021,5.0,
8,SDM dalam Kebijakan,Pilihan,iku8_sdm_kebijakan,jumlah keterlibatan kebijakan per tahun,kegiatan,2022,6.0,
8,SDM dalam Kebijakan,Pilihan,iku8_sdm_kebijakan,jumlah keterlibatan kebijakan per tahun,kegiatan,2023,7.0,
8,SDM dalam Kebijakan,Pilihan,iku8_sdm_kebijakan,jumlah keterlibatan kebijakan per tahun,kegiatan,2024,8.0,
8,SDM dalam Kebijakan,Pilihan,iku8_sdm_kebijakan,jumlah keterlibatan kebijakan per tahun,kegiatan,2025,9.0,
8,SDM dalam Kebijakan,Pilihan,iku8_sdm_kebijakan,jumlah keterlibatan kebijakan per tahun,kegiatan,2026,10.0,
9,Pendapatan Non-UKT,Wajib,iku9_pendapatan_non_ukt + iku9_pendapatan_ukt,pendapatan_non_ukt / total_pendapatan x 100,%,2021,17.0,
9,Pendapatan Non-UKT,Wajib,iku9_pendapatan_non_ukt + iku9_pendapatan_ukt,pendapatan_non_ukt / total_pendapatan x 100,%,2022,19.0,
9,Pendapatan Non-UKT,Wajib,iku9_pendapatan_non_ukt + iku9_pendapatan_ukt,pendapatan_non_ukt / total_pendapatan x 100,%,2023,21.0,
9,Pendapatan Non-UKT,Wajib,iku9_pendapatan_non_ukt + iku9_pendapatan_ukt,pendapatan_non_ukt / total_pendapatan x 100,%,2024,23.0,
9,Pendapatan Non-UKT,Wajib,iku9_pendapatan_non_ukt + iku9_pendapatan_ukt,pendapatan_non_ukt / total_pendapatan x 100,%,2025,25.0,
9,Pendapatan Non-UKT,Wajib,iku9_pendapatan_non_ukt + iku9_pendapatan_ukt,pendapatan_non_ukt / total_pendapatan x 100,%,2026,27.0,
10,Zona Integritas (WBK/WBBM),Tidak Berlaku (PTS),-,-,-,2021,,"Khusus PTN/instansi pemerintah, tidak dinilai untuk PTS"
10,Zona Integritas (WBK/WBBM),Tidak Berlaku (PTS),-,-,-,2022,,"Khusus PTN/instansi pemerintah, tidak dinilai untuk PTS"
10,Zona Integritas (WBK/WBBM),Tidak Berlaku (PTS),-,-,-,2023,,"Khusus PTN/instansi pemerintah, tidak dinilai untuk PTS"
10,Zona Integritas (WBK/WBBM),Tidak Berlaku (PTS),-,-,-,2024,,"Khusus PTN/instansi pemerintah, tidak dinilai untuk PTS"
10,Zona Integritas (WBK/WBBM),Tidak Berlaku (PTS),-,-,-,2025,,"Khusus PTN/instansi pemerintah, tidak dinilai untuk PTS"
10,Zona Integritas (WBK/WBBM),Tidak Berlaku (PTS),-,-,-,2026,,"Khusus PTN/instansi pemerintah, tidak dinilai untuk PTS"
11,Tata Kelola Berintegritas,Pilihan,iku11_tata_kelola,rata-rata skor_numerik 6 komponen,skor,2021,75.0,
11,Tata Kelola Berintegritas,Pilihan,iku11_tata_kelola,rata-rata skor_numerik 6 komponen,skor,2022,78.0,
11,Tata Kelola Berintegritas,Pilihan,iku11_tata_kelola,rata-rata skor_numerik 6 komponen,skor,2023,81.0,
11,Tata Kelola Berintegritas,Pilihan,iku11_tata_kelola,rata-rata skor_numerik 6 komponen,skor,2024,84.0,
11,Tata Kelola Berintegritas,Pilihan,iku11_tata_kelola,rata-rata skor_numerik 6 komponen,skor,2025,87.0,
11,Tata Kelola Berintegritas,Pilihan,iku11_tata_kelola,rata-rata skor_numerik 6 komponen,skor,2026,90.0,
12,Kesejahteraan Dosen,Wajib,iku12_kesejahteraan_dosen,dosen dengan perlindungan penuh / total dosen x 100,%,2021,60.0,
12,Kesejahteraan Dosen,Wajib,iku12_kesejahteraan_dosen,dosen dengan perlindungan penuh / total dosen x 100,%,2022,65.0,
12,Kesejahteraan Dosen,Wajib,iku12_kesejahteraan_dosen,dosen dengan perlindungan penuh / total dosen x 100,%,2023,70.0,
12,Kesejahteraan Dosen,Wajib,iku12_kesejahteraan_dosen,dosen dengan perlindungan penuh / total dosen x 100,%,2024,75.0,
12,Kesejahteraan Dosen,Wajib,iku12_kesejahteraan_dosen,dosen dengan perlindungan penuh / total dosen x 100,%,2025,80.0,
12,Kesejahteraan Dosen,Wajib,iku12_kesejahteraan_dosen,dosen dengan perlindungan penuh / total dosen x 100,%,2026,85.0,
