kerjasama_id,nama_mitra,jenis_mitra,program_terkait_id,tahun_mulai,tahun_berakhir,status,ada_hilirisasi,jenis_luaran,nilai_kontrak_rupiah,deskripsi_dampak
31,Universitas Indonesia,Lembaga,MTH,2022,2024,Selesai,False,,200000000,Program pengabdian dan pelatihan bersama
32,PT Pertamina,Industri,MGT,2023,,Aktif,False,,355000000,Program pengabdian dan pelatihan bersama
33,BRIN,Lembaga,PAD,2021,2023,Selesai,False,,885000000,Program pengabdian dan pelatihan bersama
34,SMAN 1 Bekasi,Sekolah,MGT,2025,,Aktif,False,,385000000,Program pengabdian dan pelatihan bersama
35,PT Pertamina,Industri,BIS,2022,,Aktif,False,,290000000,Program pengabdian dan pelatihan bersama
36,PT Pertamina,Industri,MTH,2021,,Aktif,True,Lisensi/HKI,705000000,Kolaborasi riset terapan dan magang bersertifikat
37,Kemendiktisaintek,Pemerintah,MTH,2025,2026,Selesai,True,Kebijakan mitra,860000000,Kolaborasi riset terapan dan magang bersertifikat
38,PT Pertamina,Industri,ENG,2023,,Aktif,False,,720000000,Program pengabdian dan pelatihan bersama
39,Universitas Indonesia,Lembaga,PSY,2024,,Aktif,False,,435000000,Program pengabdian dan pelatihan bersama
40,Pemkot Bekasi,Pemerintah,ENG,2024,2026,Selesai,False,,345000000,Program pengabdian dan pelatihan bersama
41,Universitas Indonesia,Lembaga,MEC,2021,,Aktif,False,,855000000,Program pengabdian dan pelatihan bersama
42,SMAN 1 Bekasi,Sekolah,ACC,2021,,Aktif,False,,360000000,Program pengabdian dan pelatihan bersama
43,BRIN,Lembaga,MEC,2021,,Aktif,False,,235000000,Program pengabdian dan pelatihan bersama
44,LIPI Press,Lembaga,ACC,2026,,Aktif,False,,190000000,Program pengabdian dan pelatihan bersama
45,SMAN 1 Bekasi,Sekolah,PSY,2022,,Aktif,False,,375000000,Program pengabdian dan pelatihan bersama
46,Kemendiktisaintek,Pemerintah,ENG,2021,,Aktif,False,,730000000,Program pengabdian dan pelatihan bersama
47,Pemprov DKI Jakarta,Pemerintah,PAD,2021,,Aktif,False,,350000000,Program pengabdian dan pelatihan bersama
48,Bank Mandiri,Industri,PSY,2025,,Aktif,False,,130000000,Program pengabdian dan pelatihan bersama
49,Bank Mandiri,Industri,ACC,2025,,Aktif,False,,170000000,Program pengabdian dan pelatihan bersama
50,Kemendiktisaintek,Pemerintah,MGT,2021,,Aktif,False,,355000000,Program pengabdian dan pelatihan bersama
51,LIPI Press,Lembaga,BIS,2023,,Aktif,False,,445000000,Program pengabdian dan pelatihan bersama
52,Pemkot Bekasi,Pemerintah,EDU,2021,,Aktif,True,Modul pelatihan,690000000,Kolaborasi riset terapan dan magang bersertifikat
