id,dosen_id,program_id,tahun,jenis_rekognisi,tingkat,deskripsi
43,D0080,PSY,2024,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2024
44,D0023,CSE,2024,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2024
45,D0074,PAD,2024,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2024
46,D0036,EEE,2024,Kepakaran Nasional,Nasional,Rekognisi kepakaran nasional tahun 2024
47,D0030,CSE,2024,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2024
48,D0026,CSE,2024,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2024
49,D0019,BIS,2024,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2024
50,D0070,MTH,2024,Kepakaran Nasional,Nasional,Rekognisi kepakaran nasional tahun 2024
51,D0048,IND,2024,Kepakaran Nasional,Nasional,Rekognisi kepakaran nasional tahun 2024
52,D0073,PAD,2024,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2024
53,D0075,PAD,2024,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2024
54,D0063,ENG,2024,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2024
55,D0007,ACC,2025,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2025
56,D0065,ENG,2025,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2025
57,D0064,ENG,2025,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2025
58,D0041,MEC,2025,Penghargaan Internasional,Internasional,Rekognisi penghargaan internasional tahun 2025
59,D0051,IND,2025,Kepakaran Nasional,Nasional,Rekognisi kepakaran nasional tahun 2025
60,D0047,IND,2025,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2025
61,D0071,MTH,2025,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2025
62,D0079,PSY,2025,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2025
63,D0050,IND,2026,Penghargaan Internasional,Internasional,Rekognisi penghargaan internasional tahun 2026
64,D0073,PAD,2026,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2026
65,D0083,PSY,2026,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2026
66,D0083,PSY,2026,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2026
67,D0083,PSY,2026,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2026
68,D0081,PSY,2026,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2026
69,D0065,ENG,2026,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2026
70,D0028,CSE,2026,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2026
71,D0040,MEC,2026,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2026
72,D0037,EEE,2026,Penerapan Riset di Masyarakat,Nasional,Rekognisi penerapan riset di masyarakat tahun 2026
73,D0006,ACC,2026,Sitasi Ilmiah Tinggi,Internasional,Rekognisi sitasi ilmiah tinggi tahun 2026
74,D0073,PAD,2026,Kepakaran Nasional,Nasional,Rekognisi kepakaran nasional tahun 2026
75,D0014,BIS,2026,Penghargaan Internasional,Internasional,Rekognisi penghargaan internasional tahun 2026
76,D0075,PAD,2026,Kepakaran Nasional,Nasional,Rekognisi kepakaran nasional tahun 2026
77,D0035,EEE,2026,Kepakaran Nasional,Nasional,Rekognisi kepakaran nasional tahun 2026
