id,dosen_id,program_id,tahun,judul,indeks,jumlah_sitasi
48,D0069,MTH,2022,Publikasi MTH 2022-48,Scopus,24
49,D0009,MGT,2022,Publikasi MGT 2022-49,Scopus,17
50,D0004,ACC,2022,Publikasi ACC 2022-50,WoS,34
51,D0082,PSY,2023,Publikasi PSY 2023-51,Scopus,12
52,D0060,ENG,2023,Publikasi ENG 2023-52,Scopus,23
53,D0015,BIS,2023,Publikasi BIS 2023-53,Scopus,7
54,D0051,IND,2023,Publikasi IND 2023-54,WoS,16
55,D0005,ACC,2023,Publikasi ACC 2023-55,Lainnya,6
56,D0006,ACC,2023,Publikasi ACC 2023-56,Scopus,34
57,D0019,BIS,2023,Publikasi BIS 2023-57,Scopus,16
58,D0024,CSE,2023,Publikasi CSE 2023-58,Sinta 1-2,0
59,D0080,PSY,2023,Publikasi PSY 2023-59,Scopus,18
60,D0034,EEE,2023,Publikasi EEE 2023-60,WoS,16
61,D0062,ENG,2023,Publikasi ENG 2023-61,Scopus,39
62,D0078,PAD,2023,Publikasi PAD 2023-62,WoS,22
63,D0047,IND,2023,Publikasi IND 2023-63,Sinta 1-2,4
64,D0035,EEE,2023,Publikasi EEE 2023-64,Scopus,15
65,D0051,IND,2023,Publikasi IND 2023-65,Lainnya,5
66,D0084,PSY,2023,Publikasi PSY 2023-66,Sinta 1-2,4
67,D0026,CSE,2023,Publikasi CSE 2023-67,Sinta 1-2,5
68,D0064,ENG,2023,Publikasi ENG 2023-68,Sinta 1-2,4
69,D0014,BIS,2023,Publikasi BIS 2023-69,Scopus,28
70,D0071,MTH,2023,Publikasi MTH 2023-70,Scopus,20
71,D0069,MTH,2024,Publikasi MTH 2024-71,WoS,7
72,D0008,MGT,2024,Publikasi MGT 2024-72,Sinta 1-2,4
73,D0080,PSY,2024,Publikasi PSY 2024-73,Lainnya,5
74,D0078,PAD,2024,Publikasi PAD 2024-74,Sinta 1-2,4
75,D0012,MGT,2024,Publikasi MGT 2024-75,Sinta 1-2,1
76,D0053,EDU,2024,Publikasi EDU 2024-76,WoS,25
77,D0029,CSE,2024,Publikasi CSE 2024-77,WoS,22
78,D0017,BIS,2024,Publikasi BIS 2024-78,Scopus,9
79,D0079,PSY,2024,Publikasi PSY 2024-79,Scopus,22
80,D0019,BIS,2024,Publikasi BIS 2024-80,WoS,3
81,D0048,IND,2024,Publikasi IND 2024-81,Sinta 1-2,5
82,D0010,MGT,2024,Publikasi MGT 2024-82,Scopus,25
83,D0066,ENG,2024,Publikasi ENG 2024-83,Sinta 1-2,2
84,D0004,ACC,2024,Publikasi ACC 2024-84,Scopus,12
85,D0033,EEE,2024,Publikasi EEE 2024-85,Scopus,21
86,D0007,ACC,2024,Publikasi ACC 2024-86,Scopus,27
87,D0040,MEC,2024,Publikasi MEC 2024-87,Scopus,25
88,D0012,MGT,2024,Publikasi MGT 2024-88,Scopus,15
89,D0075,PAD,2024,Publikasi PAD 2024-89,WoS,32
90,D0039,MEC,2024,Publikasi MEC 2024-90,Lainnya,6
91,D0019,BIS,2024,Publikasi BIS 2024-91,Scopus,19
92,D0060,ENG,2024,Publikasi ENG 2024-92,Scopus,14
93,D0083,PSY,2024,Publikasi PSY 2024-93,Sinta 1-2,2
94,D0013,MGT,2024,Publikasi MGT 2024-94,Scopus,20
95,D0080,PSY,2024,Publikasi PSY 2024-95,Scopus,9
96,D0076,PAD,2025,Publikasi PAD 2025-96,Scopus,10
97,D0006,ACC,2025,Publikasi ACC 2025-97,Scopus,6
98,D0035,EEE,2025,Publikasi EEE 2025-98,Scopus,14
99,D0067,MTH,2025,Publikasi MTH 2025-99,Scopus,15
100,D0044,MEC,2025,Publikasi MEC 2025-100,WoS,12
101,D0042,MEC,2025,Publikasi MEC 2025-101,Scopus,17
102,D0051,IND,2025,Publikasi IND 2025-102,Scopus,9
103,D0020,BIS,2025,Publikasi BIS 2025-103,Sinta 1-2,5
104,D0048,IND,2025,Publikasi IND 2025-104,Sinta 1-2,0
105,D0007,ACC,2025,Publikasi ACC 2025-105,Lainnya,2
106,D0070,MTH,2025,Publikasi MTH 2025-106,Sinta 1-2,5
107,D0071,MTH,2025,Publikasi MTH 2025-107,Sinta 1-2,5
108,D0028,CSE,2025,Publikasi CSE 2025-108,Scopus,10
109,D0067,MTH,2025,Publikasi MTH 2025-109,Lainnya,4
110,D0013,MGT,2025,Publikasi MGT 2025-110,Scopus,18
111,D0073,PAD,2025,Publikasi PAD 2025-111,Lainnya,5
112,D0068,MTH,2025,Publikasi MTH 2025-112,Scopus,11
113,D0024,CSE,2025,Publikasi CSE 2025-113,Scopus,12
114,D0044,MEC,2025,Publikasi MEC 2025-114,Sinta 1-2,0
115,D0011,MGT,2025,Publikasi MGT 2025-115,WoS,4
116,D0028,CSE,2025,Publikasi CSE 2025-116,Sinta 1-2,0
117,D0004,ACC,2026,Publikasi ACC 2026-117,Scopus,7
118,D0034,EEE,2026,Publikasi EEE 2026-118,Lainnya,5
119,D0028,CSE,2026,Publikasi CSE 2026-119,Sinta 1-2,0
120,D0083,PSY,2026,Publikasi PSY 2026-120,Scopus,8
121,D0017,BIS,2026,Publikasi BIS 2026-121,Scopus,9
122,D0016,BIS,2026,Publikasi BIS 2026-122,Scopus,1
123,D0039,MEC,2026,Publikasi MEC 2026-123,Sinta 1-2,1
124,D0034,EEE,2026,Publikasi EEE 2026-124,Scopus,11
125,D0072,MTH,2026,Publikasi MTH 2026-125,Scopus,5
126,D0005,ACC,2026,Publikasi ACC 2026-126,Sinta 1-2,4
127,D0075,PAD,2026,Publikasi PAD 2026-127,Scopus,4
128,D0043,MEC,2026,Publikasi MEC 2026-128,Scopus,3
129,D0019,BIS,2026,Publikasi BIS 2026-129,WoS,2
130,D0005,ACC,2026,Publikasi ACC 2026-130,WoS,1
131,D0033,EEE,2026,Publikasi EEE 2026-131,Scopus,3
132,D0073,PAD,2026,Publikasi PAD 2026-132,Scopus,10
133,D0029,CSE,2026,Publikasi CSE 2026-133,Lainnya,5
134,D0008,MGT,2026,Publikasi MGT 2026-134,WoS,10
135,D0041,MEC,2026,Publikasi MEC 2026-135,WoS,2
136,D0051,IND,2026,Publikasi IND 2026-136,WoS,5
137,D0028,CSE,2026,Publikasi CSE 2026-137,Lainnya,6
138,D0034,EEE,2026,Publikasi EEE 2026-138,Scopus,7
