kegiatan_id,judul,sdg_terkait,tahun,unit_pelaksana,jumlah_penerima_manfaat,sumber_dana,anggaran_rupiah
32,Program Pengabdian GEN 2023-32,SDG 17,2023,GEN,375,Hibah Eksternal,126000000
33,Program Pengabdian FST 2024-33,SDG 17,2024,FST,534,Hibah Eksternal,25000000
34,Program Pengabdian FADM 2024-34,SDG 4,2024,FADM,720,Internal,46000000
35,Program Pengabdian FOE 2024-35,SDG 10,2024,FOE,759,Internal,92000000
36,Program Pengabdian FST 2024-36,SDG 4,2024,FST,479,Mitra Industri,69000000
37,Program Pengabdian FOE 2024-37,SDG 1,2024,FOE,371,Hibah Eksternal,97000000
38,Program Pengabdian FSS 2024-38,SDG 3,2024,FSS,517,Mitra Industri,43000000
39,Program Pengabdian FOE 2024-39,SDG 4,2024,FOE,693,Internal,9000000
40,Program Pengabdian FST 2024-40,SDG 8,2024,FST,46,Internal,63000000
41,Program Pengabdian FSS 2024-41,SDG 3,2024,FSS,453,Mitra Industri,8000000
42,Program Pengabdian FBE 2024-42,SDG 17,2024,FBE,709,Hibah Eksternal,51000000
43,Program Pengabdian FST 2024-43,SDG 17,2024,FST,813,Mitra Industri,123000000
44,Program Pengabdian GEN 2025-44,SDG 1,2025,GEN,152,Mitra Industri,44000000
45,Program Pengabdian FBE 2025-45,SDG 1,2025,FBE,45,Hibah Eksternal,143000000
46,Program Pengabdian FST 2025-46,SDG 4,2025,FST,540,Mitra Industri,66000000
47,Program Pengabdian FSS 2025-47,SDG 8,2025,FSS,458,Hibah Eksternal,35000000
48,Program Pengabdian FADM 2025-48,SDG 4,2025,FADM,399,Internal,172000000
49,Program Pengabdian FOE 2025-49,SDG 1,2025,FOE,214,Mitra Industri,12000000
50,Program Pengabdian FST 2025-50,SDG 4,2025,FST,342,Mitra Industri,153000000
51,Program Pengabdian FST 2025-51,SDG 17,2025,FST,124,Hibah Eksternal,26000000
52,Program Pengabdian GEN 2025-52,SDG 4,2025,GEN,463,Hibah Eksternal,93000000
53,Program Pengabdian FOE 2025-53,SDG 4,2025,FOE,397,Mitra Industri,87000000
54,Program Pengabdian FSS 2026-54,SDG 4,2026,FSS,163,Hibah Eksternal,126000000
55,Program Pengabdian FST 2026-55,SDG 1,2026,FST,501,Mitra Industri,161000000
56,Program Pengabdian GEN 2026-56,SDG 4,2026,GEN,219,Internal,163000000
57,Program Pengabdian FBE 2026-57,SDG 4,2026,FBE,171,Mitra Industri,18000000
58,Program Pengabdian FST 2026-58,SDG 4,2026,FST,351,Mitra Industri,32000000
59,Program Pengabdian FBE 2026-59,SDG 3,2026,FBE,684,Internal,6000000
60,Program Pengabdian FSS 2026-60,SDG 1,2026,FSS,663,Internal,137000000
61,Program Pengabdian GEN 2026-61,SDG 17,2026,GEN,750,Internal,156000000
62,Program Pengabdian GEN 2026-62,SDG 1,2026,GEN,815,Mitra Industri,141000000
63,Program Pengabdian FSS 2026-63,SDG 4,2026,FSS,524,Internal,39000000
64,Program Pengabdian FST 2026-64,SDG 4,2026,FST,477,Internal,99000000
65,Program Pengabdian GEN 2026-65,SDG 17,2026,GEN,374,Mitra Industri,28000000
66,Program Pengabdian FBE 2026-66,SDG 17,2026,FBE,79,Hibah Eksternal,103000000
